liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
2.0,2.0,40.59,5813347.34,6429028.889,Poznań,ul. Czarnucha,23A,,,,,1/1,True,2023-07-28,38.52,Naramowice,1,2023,2023.5,7480.87312,0,0,0,1,0,0,15
2.0,6.0,38.24,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-05,38.24,Jeżyce,0,2023,2023.6666666666667,17173.750635209206,0,0,0,1,0,0,8
2.0,5.0,42.18,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-05,42.18,Jeżyce,0,2023,2023.6666666666667,16347.617944000001,0,0,0,1,0,0,8
2.0,5.0,32.64,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-05,32.64,Jeżyce,0,2023,2023.6666666666667,16734.070980666667,0,0,0,1,0,0,8
2.0,4.0,34.0,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-05,34.0,Jeżyce,0,2023,2023.6666666666667,16248.833648616472,0,0,0,1,0,0,8
2.0,2.0,42.769999999999996,5813295.755,6429023.594,Poznań,ul. Czarnucha,21,,,,,1/1,True,2023-08-01,40.16,Naramowice,1,2023,2023.5833333333333,7244.748000000001,0,0,0,1,0,0,15
1.0,5.0,32.61,5813347.34,6429028.889,Poznań,ul. Czarnucha,23,,,,,1/1,True,2023-08-01,29.67,Naramowice,1,2023,2023.5833333333333,8178.515519999999,0,0,0,1,0,0,15
2.0,2.0,32.9,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-06,32.9,Jeżyce,0,2023,2023.6666666666667,16228.300765957447,0,0,0,1,0,0,8
2.0,2.0,34.55,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-06,34.55,Jeżyce,0,2023,2023.6666666666667,16086.082046888569,0,0,0,1,0,0,8
2.0,4.0,52.28,5813347.34,6429028.889,Poznań,ul. Czarnucha,23,,,,,1/1,True,2023-08-01,48.39,Naramowice,1,2023,2023.5833333333333,7781.396,0,0,0,1,0,0,15
2.0,3.0,38.63,5810322.985,6422862.314,Poznań,ul. Janusza Meissnera,6A,,,,,1/1,True,2023-08-18,38.63,Wola,0,2023,2023.5833333333333,8687.81794948175,0,0,0,1,0,0,35
