liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,odl_do_centrum,metry_na_izbe,wibor_3m,srednie_wynagrodzenie,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
3.0,4.0,37.53,5806741.503,6429010.488,Poznań,os. Powstań Narodowych,6,,,,,1/1,True,2011-01-21,37.53,Rataje,0,2011,2011.0,7573.78443550324,2.5240012229228523,12.51,3.95,3311.0,0,0,1,0,0,0,24
3.0,3.0,51.1,5813543.596,6426328.043,Poznań,os. Bolesława Chrobrego,24,,,,,1/1,True,2011-01-31,51.1,Piątkowo,0,2011,2011.0,10489.299732207333,5.059480734445185,17.033333333333335,3.95,3311.0,0,0,1,0,0,0,21
3.0,2.0,64.69,5809319.614,6427962.757,Poznań,ul. Szyperska,13D,,,,,1/1,True,2011-01-05,64.69,Stare Miasto,0,2011,2011.0,10043.296773250417,1.0154186455138308,21.563333333333333,3.95,3311.0,0,0,1,0,0,0,26
3.0,0.0,37.53,5806611.987,6429081.439,Poznań,os. Powstań Narodowych,41,,,,,1/1,True,2011-01-31,37.53,Rataje,0,2011,2011.0,8872.147481589509,2.6670753095762616,12.51,3.95,3311.0,0,0,1,0,0,0,24
3.0,0.0,44.58,5804783.388,6425390.69,Poznań,ul. Konarowa,6,,,,,1/1,True,2011-02-07,44.58,Zielony Dębiec,0,2011,2011.0833333333333,7104.736951043407,4.232175995551166,14.86,4.0,3311.0,0,0,1,0,0,0,36
3.0,1.0,63.1,5807139.258,6424246.478,Poznań,ul. Hetmańska,6,,,,,1/1,True,2011-02-10,57.1,Łazarz,1,2011,2011.0833333333333,5546.920722898688,3.350140125022539,19.033333333333335,4.0,3311.0,0,0,1,0,0,0,38
1.0,2.0,40.1,5809856.112,6425557.329,Poznań,ul. Kościelna,39e,,,,,1/1,True,2011-01-19,40.1,Jeżyce,0,2011,2011.0,9316.159582304299,2.143109039819056,40.1,3.95,3311.0,0,0,1,0,0,0,8
3.0,2.0,51.09,5806755.131,6423135.29,Poznań,ul. Promienista,126,,,,,1/1,True,2011-01-28,51.09,Grunwald Południe,0,2011,2011.0,10173.433051658945,4.520631394165576,17.03,3.95,3311.0,0,0,1,0,0,0,3
4.0,2.0,63.9,5805708.351,6429023.346,Poznań,os. Stare Żegrze,35,,,,,1/1,True,2011-01-21,63.9,Żegrze,0,2011,2011.0,7625.597045323585,3.356781034117125,15.975,3.95,3311.0,0,0,1,0,0,0,40
2.0,4.0,59.6,5809270.357,6425540.64,Poznań,ul. Bolesława Prusa,19,,,,,1/1,True,2011-02-22,42.35,Jeżyce,1,2011,2011.0833333333333,9012.969541999339,1.868382401465227,21.175,4.0,3311.0,0,0,1,0,0,0,8
3.0,2.0,50.75,5814180.517,6428330.299,Poznań,ul. Błażeja,4C,,,,,1/1,True,2011-02-15,50.75,Naramowice,0,2011,2011.0833333333333,9121.416130765876,5.705755616766197,16.916666666666668,4.0,3311.0,0,0,1,0,0,0,15
1.0,0.0,23.8,5814176.755,6425738.528,Poznań,os. Władysława Jagiełły,12F,,,,,1/1,True,2011-02-03,23.8,Piątkowo,0,2011,2011.0833333333333,10578.112876107485,5.810004056867909,23.8,4.0,3311.0,0,0,1,0,0,0,21
3.0,1.0,39.300000000000004,5808921.937,6425247.566,Poznań,ul. Józefa Kraszewskiego,25,,,,,1/1,True,2011-01-27,37.1,Jeżyce,1,2011,2011.0,8099.370662290454,2.056341319424596,12.366666666666667,3.95,3311.0,0,0,1,0,0,0,8
2.0,4.0,38.5,5806487.935,6425869.561,Poznań,ul. Fabryczna,29,,,,,1/1,True,2011-01-28,38.5,Wilda,0,2011,2011.0,8859.557294475946,2.5143326405697013,19.25,3.95,3311.0,0,0,1,0,0,0,33
2.0,1.0,35.9,5813586.856,6428442.199,Poznań,ul. Naramowicka,203o,,,,,1/1,True,2011-02-03,35.9,Naramowice,0,2011,2011.0833333333333,9953.634471973905,5.147763563408665,17.95,4.0,3311.0,0,0,1,0,0,0,15
3.0,1.0,50.8,5808045.794,6424633.064,Poznań,ul. Wojskowa,3B,,,,,1/1,True,2011-01-27,44.8,Łazarz,1,2011,2011.0,12000.61313585823,2.6932605574343786,14.933333333333332,3.95,3311.0,0,0,1,0,0,0,38
4.0,0.0,63.4,5814007.111,6426642.006,Poznań,os. Bolesława Śmiałego,4,,,,,1/1,True,2011-01-26,63.4,Piątkowo,0,2011,2011.0,7865.069659160166,5.470396394805118,15.85,3.95,3311.0,0,0,1,0,0,0,21
1.0,3.0,25.78,5808222.956,6427223.375,Poznań,ul. Kwiatowa,3,,,,,1/1,True,2011-01-14,25.78,Stare Miasto,0,2011,2011.0,11025.761437720583,0.3540648906367582,25.78,3.95,3311.0,0,0,1,0,0,0,26
2.0,1.0,39.599999999999994,5813217.56,6423337.122,Poznań,ul. Witolda Gombrowicza,6c,,,,,1/1,True,2011-01-25,36.3,,1,2011,2011.0,10067.678743722667,6.088411398570951,18.15,3.95,3311.0,0,0,1,0,0,0,-1
1.0,2.0,21.65,5808222.956,6427223.375,Poznań,ul. Kwiatowa,3,,,,,1/1,True,2011-02-04,21.65,Stare Miasto,0,2011,2011.0833333333333,11028.409657557819,0.3540648906367582,21.65,4.0,3311.0,0,0,1,0,0,0,26
5.0,0.0,61.3,5804407.118,6424764.188,Poznań,ul. Jesionowa,21,,,,,1/1,True,2011-01-20,61.3,Świerczewo,0,2011,2011.0,6332.728691456569,4.863896038902175,12.26,3.95,3311.0,0,0,1,0,0,0,39
4.0,0.0,51.4,5812144.121,6427795.583,Poznań,os. Wichrowe Wzgórze,7,,,,,1/1,True,2011-01-14,47.3,Nowe Winogrady Północ,1,2011,2011.0,8584.842339608475,3.608630974604195,11.825,3.95,3311.0,0,0,1,0,0,0,17
1.0,5.0,27.6,5807035.219,6430873.36,Poznań,ul. Bliźniąt,14a,,,,,1/1,True,2011-01-31,27.6,Chartowo,0,2011,2011.0,10887.19752068753,3.914103882457036,27.6,3.95,3311.0,0,0,1,0,0,0,1
2.0,1.0,41.54,5807379.267,6426872.836,Poznań,ul. Dolna Wilda,30a,,,,,1/1,True,2011-01-05,38.14,Wilda,1,2011,2011.0,8219.20998783973,1.2597274046953164,19.07,3.95,3311.0,0,0,1,0,0,0,33
1.0,3.0,33.5,5814935.579,6426694.178,Poznań,os. Stefana Batorego,58b,,,,,1/1,True,2011-01-20,33.5,Piątkowo,0,2011,2011.0,11044.91476044668,6.388597358751742,33.5,3.95,3311.0,0,0,1,0,0,0,21
2.0,3.0,52.1,5811130.754,6428866.549,Poznań,ul. Wilczak,18G,,,,,1/1,True,2011-02-10,52.1,Stare Winogrady,0,2011,2011.0833333333333,12470.266185442792,3.0126395381703293,26.05,4.0,3311.0,0,0,1,0,0,0,27
2.0,3.0,33.1,5814588.895,6425128.748,Poznań,ul. Królewska,47,,,,,1/1,True,2011-01-18,27.3,Piątkowo,1,2011,2011.0,11363.815552926717,6.3866567236346246,13.65,3.95,3311.0,0,0,1,0,0,0,21
4.0,3.0,67.6,5807217.071,6424220.568,Poznań,ul. Hetmańska,1,,,,,1/1,True,2011-01-28,67.6,Łazarz,0,2011,2011.0,7424.466283018674,3.341238559555307,16.9,3.95,3311.0,0,0,1,0,0,0,38
4.0,0.0,64.45,5813877.229,6428160.644,Poznań,ul. Jasna Rola,34D,,,,,1/1,True,2011-01-19,64.45,Naramowice,0,2011,2011.0,9954.687469484868,5.37744224316421,16.1125,3.95,3311.0,0,0,1,0,0,0,15
